order_id,customer_id,store_id,order_date,order_status,shipping_amount,discount_total,payment_status,_ingested_at,_source_file,rejection_reason_code,quarantined_at
50001,3650,8,2022-01-18,Processing,0.0,3705.58,Success,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50002,5024,1,2022-06-09,Completed,0.0,0.0,Success,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50003,7342,43,2024-12-31,Shipped,0.0,46.54,Success,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50004,3220,10,2025-12-16,Shipped,0.0,245.08,Success,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50005,6580,35,2023-01-07,Completed,0.0,0.0,Success,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50006,8139,2,2024-08-26,Shipped,0.0,1067.38,Success,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50007,10287,1,2024-05-17,Completed,0.0,0.0,Success,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50008,5247,9,2025-04-06,Shipped,0.0,0.0,Success,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50009,10388,35,2023-07-25,Completed,0.0,672.93,Success,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50010,2317,28,2022-12-29,Completed,0.0,0.0,Success,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50011,7217,29,2024-09-09,Completed,0.0,0.0,Success,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50012,8221,6,2023-07-31,Completed,0.0,22.87,Success,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50013,5325,3,2025-07-29,Cancelled,0.0,4849.8,Cancelled,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50014,4568,1,2025-06-24,Returned,0.0,173.38,Refunded,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50015,5184,5,2024-03-20,Completed,0.0,0.0,Success,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50016,10539,47,2025-01-29,Cancelled,0.0,44.66,Cancelled,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50017,9198,1,2025-07-31,Cancelled,0.0,0.0,Cancelled,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50018,3181,10,2024-10-25,Completed,0.0,678.66,Success,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50019,6076,1,2024-11-01,Processing,0.0,249.4,Success,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50020,5851,1,2026-03-16,Completed,0.0,261.22,Success,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50021,9540,24,2024-10-26,Completed,0.0,0.0,Success,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50022,10940,1,2025-02-07,Completed,0.0,16997.62,Success,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50023,3703,29,2023-09-25,Processing,0.0,10322.05,Success,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50024,9971,1,2022-12-04,Completed,0.0,1611.24,Success,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50025,10804,46,2025-09-20,Completed,0.0,0.0,Success,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50026,6986,25,2025-05-09,Completed,0.0,0.0,Success,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50027,4095,1,2022-11-28,Completed,0.0,0.0,Success,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50028,4648,10,2024-05-22,Completed,0.0,0.0,Success,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50029,5389,14,2023-01-11,Completed,0.0,199.31,Success,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50030,6686,3,2023-04-11,Completed,0.0,2165.1,Success,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50031,6315,41,2023-12-22,Completed,0.0,0.0,Success,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50032,6778,48,2023-03-04,Shipped,0.0,0.0,Success,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50033,10474,19,2025-04-02,Completed,0.0,2723.33,Success,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
50034,9658,1,2022-03-05,Completed,0.0,1302.0,Success,2026-09-02 23:22:46.270186,orders.csv,ERR_DUPLICATE_ORDER,2026-09-02 23:28:07.259845+05:30
