order_item_id,order_id,product_id,quantity,unit_price,discount,line_total
100001,50001,602,2,817.44,163.49,1471.39
100002,50001,791,1,11369.6,0.0,11369.6
100003,50001,572,2,1098.59,0.0,2197.18
100004,50001,567,1,7980.38,0.0,7980.38
100005,50002,621,3,1304.44,0.0,3913.32
100006,50003,677,1,3625.43,0.0,3625.43
100007,50004,625,2,54397.72,0.0,108795.44
100008,50005,718,1,6766.17,0.0,6766.17
100009,50005,702,2,569.75,0.0,1139.5
100010,50005,774,1,1776.67,88.83,1687.84
100011,50006,540,1,32834.15,0.0,32834.15
100012,50006,618,1,161.7,0.0,161.7
100013,50006,571,1,11994.11,0.0,11994.11
100014,50007,716,2,1117.48,223.5,2011.46
100015,50007,592,1,1511.43,0.0,1511.43
100016,50007,584,2,1377.03,0.0,2754.06
100017,50007,704,3,1165.72,349.72,3147.44
100018,50008,749,2,1601.66,160.17,3043.15
100019,50009,731,1,1578.26,157.83,1420.43
100020,50010,718,1,6766.17,0.0,6766.17
100021,50011,733,1,1597.66,0.0,1597.66
100022,50012,690,1,1805.43,90.27,1715.16
100023,50012,630,2,2387.03,0.0,4774.06
100024,50013,519,1,849.44,0.0,849.44
100025,50014,575,2,253.01,0.0,506.02
100026,50015,769,1,1383.36,0.0,1383.36
100027,50015,792,1,2835.7,141.78,2693.92
100028,50015,735,2,1557.67,311.53,2803.81
100029,50016,655,1,5152.69,0.0,5152.69
100030,50016,717,2,902.81,90.28,1715.34
100031,50017,793,2,2448.49,0.0,4896.98
100032,50017,634,2,5262.27,526.23,9998.31
100033,50017,656,1,9107.06,0.0,9107.06
100034,50018,757,2,13097.42,1309.74,24885.1
100035,50019,567,1,7980.38,798.04,7182.34
100036,50019,641,2,3333.39,0.0,6666.78
100037,50019,637,1,3516.12,175.81,3340.31
100038,50020,716,2,1117.48,0.0,2234.96
100039,50021,728,1,2491.24,249.12,2242.12
100040,50022,793,5,2448.49,612.12,11630.33
100041,50023,662,1,9986.23,0.0,9986.23
100042,50024,512,2,1219.3,0.0,2438.6
100043,50025,564,1,1265.51,0.0,1265.51
100044,50025,550,1,3272.22,0.0,3272.22
100045,50026,612,1,2192.78,0.0,2192.78
100046,50027,663,1,1339.76,133.98,1205.78
100047,50027,758,1,2596.01,0.0,2596.01
100048,50027,775,3,3454.82,0.0,10364.46
100049,50027,773,4,5708.39,0.0,22833.56
100050,50028,551,1,3446.79,172.34,3274.45
100051,50029,758,1,2596.01,129.8,2466.21
100052,50029,542,4,1742.37,0.0,6969.48
100053,50030,700,1,6725.93,672.59,6053.34
100054,50031,603,1,18106.09,0.0,18106.09
100055,50031,666,1,4195.88,0.0,4195.88
100056,50031,568,2,5802.78,0.0,11605.56
100057,50031,651,1,4691.47,0.0,4691.47
100058,50032,582,2,8407.83,0.0,16815.66
100059,50032,626,2,236.68,23.67,449.69
100060,50032,737,1,454.39,0.0,454.39
100061,50033,776,2,1371.98,0.0,2743.96
100062,50033,562,3,1170.27,0.0,3510.81
100063,50033,774,2,1776.67,355.33,3198.01
100064,50034,726,2,983.03,0.0,1966.06
100065,50034,720,3,3038.53,911.56,0.01
100066,50035,625,2,54397.72,0.0,108795.44
100067,50036,626,2,236.68,0.0,473.36
100068,50037,519,2,849.44,0.0,1698.88
100069,50038,582,1,8407.83,0.0,8407.83
100070,50039,650,3,6201.76,0.0,18605.28
100071,50040,687,2,1705.39,170.54,3240.24
100072,50041,757,1,13097.42,0.0,13097.42
100073,50041,661,4,16283.24,3256.65,61876.31
100074,50042,676,1,865.11,0.0,865.11
100075,50042,616,2,594.6,118.92,1070.28
100076,50042,659,2,364.24,0.0,728.48
100077,50042,606,1,290.06,43.51,246.55
100078,50043,604,1,5835.32,0.0,5835.32
100079,50043,687,1,1705.39,0.0,1705.39
100080,50043,517,1,12096.53,0.0,12096.53
100081,50044,627,1,348.17,17.41,330.76
100082,50044,626,2,236.68,23.67,449.69
100083,50045,783,1,39234.63,0.0,39234.63
100084,50045,643,3,55447.46,0.0,166342.38
100085,50046,745,1,5138.19,513.82,4624.37
100086,50046,738,1,4031.99,201.6,3830.39
100087,50046,551,1,3446.79,0.0,3446.79
100088,50047,792,1,2835.7,0.0,2835.7
100089,50048,734,2,839.57,83.96,1595.18
100090,50048,501,1,45292.52,0.0,45292.52
100091,50048,629,1,717.69,0.0,717.69
100092,50049,758,2,2596.01,0.0,5192.02
100093,50049,659,2,364.24,0.0,728.48
100094,50050,722,2,53128.36,0.0,106256.72
100095,50051,619,1,577.92,0.0,577.92
100096,50052,793,1,2448.49,0.0,2448.49
100097,50052,580,1,1023.86,0.0,1023.86
100098,50053,714,1,44813.18,0.0,44813.18
100099,50053,638,4,9668.28,3867.31,34805.81
100100,50054,658,1,711.18,0.0,711.18
100101,50055,572,5,1098.59,549.29,4943.66
100102,50056,692,1,7325.8,0.0,7325.8
100103,50057,726,1,983.03,0.0,983.03
100104,50057,641,1,3333.39,0.0,3333.39
100105,50058,750,1,182.17,36.43,145.74
100106,50059,725,1,6229.36,0.0,6229.36
100107,50059,646,2,6680.81,0.0,13361.62
100108,50060,788,1,8889.42,0.0,8889.42
100109,50060,546,1,12181.16,609.06,11572.1
100110,50061,661,2,16283.24,0.0,32566.48
100111,50061,685,1,9687.25,0.0,9687.25
100112,50061,729,1,2699.1,0.0,2699.1
100113,50062,719,2,15471.04,3094.21,27847.87
100114,50062,703,3,2609.04,0.0,7827.12
100115,50063,668,1,1156.71,0.0,1156.71
100116,50063,776,1,1371.98,0.0,1371.98
100117,50063,752,1,14566.93,0.0,14566.93
100118,50064,598,2,579.36,115.87,1042.85
100119,50065,594,2,55089.87,0.0,110179.74
100120,50066,651,1,4691.47,469.15,4222.32
100121,50067,668,1,1156.71,57.84,1098.87
100122,50068,796,1,1462.48,0.0,1462.48
100123,50068,579,1,17100.24,0.0,17100.24
100124,50069,536,1,1067.42,0.0,1067.42
100125,50070,612,2,2192.78,0.0,4385.56
100126,50071,607,1,10316.31,0.0,10316.31
100127,50071,695,1,24310.04,2431.0,21879.04
100128,50072,765,1,37606.92,0.0,37606.92
100129,50072,563,4,5426.08,1085.22,20619.1
100130,50073,685,1,9687.25,1453.09,8234.16
100131,50073,745,1,5138.19,0.0,5138.19
100132,50073,631,1,1647.26,329.45,1317.81
100133,50074,654,2,2895.35,579.07,5211.63
100134,50074,618,3,161.7,0.0,485.1
100135,50074,544,5,6582.2,1645.55,31265.45
100136,50075,580,1,1023.86,0.0,1023.86
100137,50076,713,3,5412.77,0.0,16238.31
100138,50077,999999,2,1705.39,0.0,3410.78
100139,50077,557,1,783.76,0.0,783.76
100140,50078,515,3,1144.81,0.0,3434.43
100141,50079,587,1,790.56,0.0,790.56
100142,50079,581,1,2900.19,0.0,2900.19
100143,50080,569,1,46883.02,0.0,46883.02
100144,50080,501,3,45292.52,0.0,135877.56
100145,50081,793,1,2448.49,0.0,2448.49
100146,50082,707,1,626.29,31.31,594.98
100147,50083,737,1,454.39,90.88,363.51
100148,50083,767,1,2764.13,414.62,2349.51
100149,50084,698,5,9291.61,0.0,46458.05
100150,50084,525,2,4003.31,800.66,7205.96
100151,50084,602,1,817.44,0.0,817.44
100152,50085,796,10,1462.48,0.0,14624.8
100153,50085,708,1,10297.58,0.0,10297.58
100154,50085,732,2,3277.37,327.74,6227.0
100155,50086,750,2,182.17,18.22,346.12
100156,50086,782,1,9360.71,0.0,9360.71
100157,50086,734,1,839.57,0.0,839.57
100158,50087,557,1,783.76,39.19,744.57
100159,50088,759,1,8304.75,830.48,7474.27
100160,50088,594,1,55089.87,0.0,55089.87
100161,50088,704,2,1165.72,0.0,2331.44
100162,50088,762,2,886.5,0.0,1773.0
100163,50089,772,1,6175.25,0.0,6175.25
100164,50089,586,1,4444.5,222.23,4222.27
100165,50090,718,4,6766.17,4059.7,23004.98
100166,50090,604,1,5835.32,875.3,4960.02
100167,50090,643,5,55447.46,41585.59,235651.71
100168,50090,526,1,5568.93,0.0,5568.93
100169,50091,535,1,2114.96,0.0,2114.96
100170,50092,715,1,61205.17,0.0,61205.17
100171,50093,800,4,2202.18,0.0,8808.72
100172,50094,660,1,3268.31,326.83,2941.48
100173,50095,733,1,1597.66,319.53,1278.13
100174,50095,579,3,17100.24,0.0,51300.72
100175,50096,800,1,2202.18,110.11,2092.07
100176,50097,686,3,4182.59,627.39,11920.38
100177,50097,624,3,391.05,234.63,938.52
100178,50098,642,2,6612.07,0.0,13224.14
100179,50098,629,2,717.69,0.0,1435.38
100180,50099,723,2,3644.62,0.0,7289.24
100181,50100,696,2,4358.64,0.0,8717.28
100182,50100,522,2,39986.91,15994.76,63979.06
100183,50101,716,2,1117.48,0.0,2234.96
100184,50101,702,2,569.75,0.0,1139.5
100185,50102,722,1,53128.36,0.0,53128.36
100186,50102,514,2,8817.04,0.0,17634.08
100187,50103,684,5,59645.43,0.0,298227.15
100188,50103,677,1,3625.43,0.0,3625.43
100189,50103,681,1,5353.16,1070.63,4282.53
100190,50104,665,2,2533.05,506.61,4559.49
100191,50104,706,1,14673.28,0.0,14673.28
100192,50105,663,2,1339.76,0.0,2679.52
100193,50105,657,1,8779.23,0.0,8779.23
100194,50105,552,1,10613.41,0.0,10613.41
100195,50105,547,2,817.17,0.0,1634.34
100196,50106,798,1,3816.99,0.0,3816.99
100197,50107,539,1,1082.58,54.13,1028.45
100198,50107,602,3,817.44,122.62,2329.7
100199,50108,554,1,5371.45,0.0,5371.45
100200,50108,651,3,4691.47,0.0,14074.41
100201,50108,792,1,2835.7,567.14,2268.56
100202,50108,543,1,4352.44,0.0,4352.44
100203,50109,507,1,5384.85,1076.97,4307.88
100204,50110,712,3,12089.2,0.0,36267.6
100205,50110,596,2,1919.15,575.75,3262.55
100206,50111,690,1,1805.43,270.81,1534.62
100207,50112,627,1,348.17,69.63,278.54
100208,50112,776,2,1371.98,0.0,2743.96
100209,50112,797,1,1277.35,0.0,1277.35
100210,50113,615,1,24337.83,2433.78,21904.05
100211,50113,739,1,9905.71,0.0,9905.71
100212,50114,530,3,3414.81,0.0,10244.43
100213,50115,630,4,2387.03,477.41,9070.71
100214,50116,611,1,15431.65,0.0,15431.65
100215,50116,732,3,3277.37,1474.82,8357.29
100216,50116,659,1,364.24,0.0,364.24
100217,50116,776,2,1371.98,0.0,2743.96
100218,50116,656,1,9107.06,455.35,8651.71
100219,50117,583,1,9641.6,482.08,9159.52
100220,50117,600,2,6469.3,0.0,12938.6
100221,50118,707,1,626.29,93.94,532.35
100222,50119,550,1,3272.22,0.0,3272.22
100223,50120,680,5,1294.32,323.58,6148.02
100224,50121,786,2,5485.59,0.0,10971.18
100225,50121,531,1,10687.35,2137.47,8549.88
100226,50122,692,4,7325.8,0.0,29303.2
100227,50122,536,2,1067.42,0.0,2134.84
100228,50123,726,1,983.03,98.3,884.73
100229,50123,591,1,9106.57,455.33,8651.24
100230,50124,650,1,6201.76,310.09,5891.67
100231,50125,673,4,1038.9,623.34,3532.26
100232,50126,627,1,348.17,0.0,348.17
100233,50127,746,3,1732.13,0.0,5196.39
100234,50127,551,2,3446.79,0.0,6893.58
100235,50127,767,2,2764.13,276.41,5251.85
100236,50127,547,1,817.17,0.0,817.17
100237,50127,665,2,2533.05,0.0,5066.1
100238,50128,665,1,2533.05,126.65,2406.4
100239,50129,522,1,39986.91,0.0,39986.91
100240,50130,774,1,1776.67,0.0,1776.67
100241,50130,515,1,1144.81,228.96,915.85
100242,50131,592,1,1511.43,75.57,1435.86
100243,50131,761,3,1440.57,0.0,4321.71
100244,50132,793,2,2448.49,0.0,4896.98
100245,50133,670,5,2118.7,2118.7,8474.8
100246,50134,633,2,1617.01,161.7,3072.32
100247,50134,717,3,902.81,0.0,2708.43
100248,50135,694,2,1970.24,0.0,3940.48
100249,50135,643,2,55447.46,5544.75,105350.17
100250,50135,598,1,579.36,28.97,550.39
100251,50136,751,1,25845.26,0.0,25845.26
100252,50137,775,1,3454.82,345.48,3109.34
100253,50138,566,1,8272.67,0.0,8272.67
100254,50139,535,2,2114.96,0.0,4229.92
100255,50139,624,1,391.05,0.0,391.05
100256,50139,724,1,2567.59,385.14,2182.45
100257,50140,675,1,16586.98,2488.05,14098.93
100258,50140,629,1,717.69,0.0,717.69
100259,50140,590,4,2022.4,0.0,8089.6
100260,50140,680,1,1294.32,64.72,1229.6
100261,50141,771,1,1072.89,0.0,1072.89
100262,50142,587,1,790.56,0.0,790.56
100263,50142,665,1,2533.05,0.0,2533.05
100264,50143,615,2,24337.83,0.0,48675.66
100265,50144,645,1,3816.62,190.83,3625.79
100266,50144,699,2,713.36,71.34,1355.38
100267,50145,615,2,24337.83,0.0,48675.66
100268,50145,574,5,20894.55,20894.55,83578.2
100269,50145,647,3,48665.91,0.0,145997.73
100270,50146,778,5,2068.11,0.0,10340.55
100271,50146,617,2,1324.53,0.0,2649.06
100272,50147,738,2,4031.99,0.0,8063.98
100273,50147,687,1,1705.39,0.0,1705.39
100274,50147,673,2,1038.9,0.0,2077.8
100275,50147,667,4,558.92,111.78,2123.9
100276,50148,658,1,711.18,0.0,711.18
100277,50149,603,1,18106.09,0.0,18106.09
100278,50150,606,1,290.06,14.5,275.56
100279,50151,602,1,817.44,0.0,817.44
100280,50151,578,3,6521.84,0.0,19565.52
100281,50152,519,2,849.44,0.0,1698.88
100282,50152,550,1,3272.22,327.22,2945.0
100283,50153,610,1,26733.01,0.0,26733.01
100284,50154,649,1,699.68,0.0,699.68
100285,50154,656,3,9107.06,0.0,27321.18
100286,50155,741,2,1969.25,590.77,3347.73
100287,50155,644,5,36167.51,9041.88,171795.67
100288,50156,999999,1,24310.04,2431.0,21879.04
100289,50157,511,5,856.8,642.6,3641.4
100290,50158,570,2,4486.57,448.66,8524.48
100291,50159,650,1,6201.76,1240.35,4961.41
100292,50159,543,1,4352.44,217.62,4134.82
100293,50160,767,3,2764.13,0.0,8292.39
100294,50161,722,1,53128.36,0.0,53128.36
100295,50162,506,1,1305.17,0.0,1305.17
100296,50162,794,1,482.29,0.0,482.29
100297,50162,510,2,640.28,0.0,1280.56
100298,50163,568,2,5802.78,0.0,11605.56
100299,50163,678,1,37877.29,0.0,37877.29
100300,50164,559,2,5502.85,0.0,11005.7
100301,50164,512,1,1219.3,0.0,1219.3
100302,50164,566,1,8272.67,827.27,7445.4
100303,50165,580,2,1023.86,307.16,1740.56
100304,50165,799,1,2348.69,352.3,1996.39
100305,50166,542,1,1742.37,87.12,1655.25
